Référence fournisseur;Titre;Nom société;N° bordereau;Nom demandeur;Date bordereau;Refus?;Commentaire demande;N° marché;Site;Sous-système;Référence fiche;;;
118621F124ESSFGPG820581;GERLAND - ARMOIRE 48V ET FORMATION DE S/TRANCHES HT;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;;ONDLUEURS CHARGEURS    (2019);FM 826;GERLAND;HAUTE TENSION;94132;94132;;
118621F124ESSFGPG820581;GERLAND - ARMOIRE 48V ET FORMATION DE S/TRANCHES HT;INEO;C.DOC/LB/22/65;LESAGE;09/03/2022;O;PROLONGEMENT METRO B HLS;M19-078;GERLAND;HAUTE TENSION;94132;94132;;
118621F124ESSFGPG820596;GERLAND - SCHEMA DES LIAISONS;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;O;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;GERLAND;BASSE TENSION;94151;94151;;
118621F124ESSFGPG820596;GERLAND - SCHEMA DES LIAISONS;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;O;ONDLUEURS CHARGEURS    (2019);FM 826;GERLAND;BASSE TENSION;94151;94151;;
118621F124ESSFGPG820596;GERLAND - SCHEMA DES LIAISONS;ENGIE;C.DOC/JG/18/270;ROBARDET;08/10/2018;;AVENIR METRO SECOND OEUVRES;M17 0080 SOE;GERLAND;BASSE TENSION;94151;94151;;
118621F124ESSFGPG820596;GERLAND - SCHEMA DES LIAISONS;INEO;C.DOC/JG/21/173;LESAGE;28/07/2021;O;PROLONGEMENT DE LA LIGNE B DU METRO AUX HOPITAUX LYON SUD;M19 0078;GERLAND;BASSE TENSION;94151;94151;;
118621F124ESSFGPG850591;GERLAND - IMPLANTATION EQUIPEMENTS DU LOCAL HT/BT;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;O;ONDLUEURS CHARGEURS    (2019);FM 826;GERLAND;BASSE TENSION;94156;94156;;
118621F124ESSFGPG850591;GERLAND - IMPLANTATION EQUIPEMENTS DU LOCAL HT/BT;ENGIE;C.DOC/JG/20/113;LESAGE;24/04/2020;;Prolongement métro B - HLS;M19-078;GERLAND;BASSE TENSION;94156;94156;;
118621F124ESSFGPG850593;GERLAND - CHEMINEMENTS NIVEAU SOUS-QUAI - VUE EN PLAN;EIFFAGE ENERGIE;C.DOC/JG/21/264;RATHAT;13/12/2021;;MISE A JOUR DES PLANS D'IMPLANTATION POUR ARMOIRE DEPORTEE DE CHEMINEMENTS/MODIFICATION COFFRET POMPIERS JAURES;M19 0079;GERLAND;BASSE TENSION;94157;94157;;
118621F124ESSFGPG850593;GERLAND - CHEMINEMENTS NIVEAU SOUS-QUAI - VUE EN PLAN;INEO;C.DOC/JG/21/263;LESAGE;13/12/2021;O;PROLONGEMENT DE LA LIGNE B DU METRO AUX HOPITAUX LYON SUD;M19/0078;GERLAND;BASSE TENSION;94157;94157;;
118621F124ESSFGPG850594;GERLAND - CHEMINEMENTS NIVEAU QUAI - VUE EN PLAN;EIFFAGE ENERGIE;C.DOC/JG/20/210;RATHAT;08/10/2020;O;MISE AJOUR DES PLANS D'IMPLANTATION POUR ARMOIRES DEPORTEE DE CHEMINEMENTS/ MODIFICATION COFFRET POMPIERS JAURES;M19 0079;GERLAND;BASSE TENSION;94158;94158;;
118621F124ESSFGPG850594;GERLAND - CHEMINEMENTS NIVEAU QUAI - VUE EN PLAN;ENGIE;C.DOC/JG/19/13;ROBARDET;24/01/2019;;AVENIR METRO SECOND OEUVRES;M17 0080 SOE;GERLAND;BASSE TENSION;94158;94158;;
118621F124ESSFGPG950600;GERLAND - IMPLANTATION DES EQUIPEMENTS ET CHEMINEMENTS LEE;ALSTOM;C.DOC/JG/17/146;RIFFARD;17/07/2017;;AUTOMATISMES;M16/0116;GERLAND;BASSE TENSION;94160;94160;;
118621F124ESSFGPG950600;GERLAND - IMPLANTATION DES EQUIPEMENTS ET CHEMINEMENTS LEE;ENGIE;C.DOC/JG/20/77;LESAGE;03/03/2020;O;PROLONGEMENT METRO B HLS;M19 078;GERLAND;BASSE TENSION;94160;94160;;
118621F125ESSFGPG850566;GERLAND - ARRIERE GARE - IMPLANTATION ET CHEMINEMENTS VUE EN PLAN;ALSTOM;C.DOC/JG/21/30;RIFFARD;09/02/2021;O;AVM Automatismes;M16-0116;GERLAND;BASSE TENSION;94268;94268;;
118621F125ESSFGPG850566;GERLAND - ARRIERE GARE - IMPLANTATION ET CHEMINEMENTS VUE EN PLAN;ENGIE;C.DOC/JG/20/77;LESAGE;03/03/2020;;PROLONGEMENT METRO B HLS;M19 078;GERLAND;BASSE TENSION;94268;94268;;
118621F125ESSFGPG850566;GERLAND - ARRIERE GARE - IMPLANTATION ET CHEMINEMENTS VUE EN PLAN;ENGIE;C.DOC/JG/21/46;LESAGE;04/03/2021;O;PROLONGEMENT METRO B HLS;M19 0078;GERLAND;BASSE TENSION;94268;94268;;
118623F038EISFGPE800634;JEAN MACE - ARMOIRE LOGIQUE TRACTION;ENGIE;C.DOC/JG/21/159;VALLIN;30/06/2021;;PROLONGEMENT METRO  B;M19 078;JEAN MACE;TRACTION;78614;78614;;
118623F039EISFGPE800630;JEAN MACE - ARMOIRE SYNOPTIQUE COMMANDE ET CONTROLE - SORTIE PR;SPIE;C.DOC/JG/21/199;CASTRO;20/09/2021;;Prolongement de la ligne B HLS;M19-0210;JEAN MACE;TRACTION;78612;78612;;
118623F120EISFGPE800636;PLACE JEAN JAURES - ARMOIRE LOGIQUE TRACTION;ENGIE;C.DOC/JG/21/159;VALLIN;30/06/2021;;PROLONGEMENT METRO  B;M19 078;PLACE JEAN JAURES;TRACTION;78610;78610;;
118623F122EISFGPE800641;DEBOURG - ARMOIRE LOGIQUE TRACTION;ENGIE;C.DOC/JG/21/159;VALLIN;30/06/2021;;PROLONGEMENT METRO  B;M19 078;DEBOURG;TRACTION;78588;78588;;
118623F124EISFGPE800646;GERLAND - ARMOIRE LOGIQUE TRACTION;ENGIE;C.DOC/JG/21/159;VALLIN;30/06/2021;;PROLONGEMENT METRO  B;M19 078;GERLAND;TRACTION;78589;78589;;
118625E124SYSFGPE740220;GERLAND - PRISES ET RESEAUX DE TERRE NIVEAU RADIER;ENGIE;C.DOC/JG/21/69;LESAGE;24/03/2021;;Prolongement Métro B HLS;M19-0078;GERLAND;BASSE TENSION;94153;94153;;
118625E124SYSFGPE740222;GERLAND - PRISES ET RESEAUX DE TERRE NIVEAU MEZZANINE;ENGIE;C.DOC/JG/21/69;LESAGE;24/03/2021;;Prolongement Métro B HLS;M19-0078;GERLAND;BASSE TENSION;94155;94155;;
118635F120SRSFGPE0300778;PLACE JEAN JAURES - GRILLE D'ENTREE SUD EST 1.2.1. COFFRET DE COMMANDE ET DE CONTROLE;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;PLACE JEAN JAURES;ELECTROMECANIQUE;76350;76350;Problème algo;H:\Tcl\Prêt Plans\Prêt 2021\Bordereau 21-027\JEAN JAURES\118635F120SRSFGPE0300778\See-Project.see
118635F120SRSFGPE0300779;PLACE JEAN JAURES - GRILLE D'ENTREE SUD OUEST 2.2.1. COFFRET DE COMMANDE ET DE CONTROLE;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;PLACE JEAN JAURES;ELECTROMECANIQUE;76349;76349;Problème algo;H:\Tcl\Prêt Plans\Prêt 2021\Bordereau 21-027\JEAN JAURES\118635F120SRSFGPE0300778\See-Project.see
118635F120SRSFGPE0300780;PLACE JEAN JAURES - GRILLE D'ENTREE NORD-EST 1.1.1.  COFFRET DE COMMANDE ET DE CONTROLE;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;PLACE JEAN JAURES;ELECTROMECANIQUE;76348;76348;Problème algo;H:\Tcl\Prêt Plans\Prêt 2021\Bordereau 21-027\JEAN JAURES\118635F120SRSFGPE0300780\See-Project.see
118635F120SRSFGPE0300781;PLACE JEAN JAURES - GRILLE D'ENTREE NORD OUEST 2.1.1.  COFFRET DE COMMANDE ET DE CONTROLE;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;PLACE JEAN JAURES;ELECTROMECANIQUE;76351;76351;Problème algo;H:\Tcl\Prêt Plans\Prêt 2021\Bordereau 21-027\JEAN JAURES\118635F120SRSFGPE0300781\See-Project.see
118635F122SRSFGPE0300782;DEBOURG - GRILLE D'ENTREE SUD EST 1.2.1. COFFRET DE COMMANDE ET CONTROLE;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;DEBOURG;ELECTROMECANIQUE;76290;76290;Problème algo;H:\Tcl\Prêt Plans\Prêt 2021\Bordereau 21-027\DEBOURG\118635F122SRSFGPE0300782\See-Project.see
118635F122SRSFGPE0300783;DEBOURG - GRILLE D'ENTREE SUD OUEST 2.2.1. COFFRET DE COMMANDE ET CONTROLE;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;DEBOURG;ELECTROMECANIQUE;76289;76289;Problème algo;H:\Tcl\Prêt Plans\Prêt 2021\Bordereau 21-027\DEBOURG\118635F122SRSFGPE0300783\See-Project.see
118635F122SRSFGPE0300784;DEBOURG - GRILLE D'ENTREE NORD EST 1.1.1. COFFRET DE COMMANDE ET CONTROLE;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;DEBOURG;ELECTROMECANIQUE;76288;76288;Problème algo;H:\Tcl\Prêt Plans\Prêt 2021\Bordereau 21-027\DEBOURG\118635F122SRSFGPE0300784\See-Project.see
118635F122SRSFGPE0300785;DEBOURG - GRILLE D'ENTREE NORD OUEST 2.1.1. COFFRET DE COMMANDE ET CONTROLE;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;DEBOURG;ELECTROMECANIQUE;76308;76308;Problème algo;H:\Tcl\Prêt Plans\Prêt 2021\Bordereau 21-027\DEBOURG\118635F122SRSFGPE0300785\See-Project.see
118635F124SRSFGPE0300786;GERLAND - GRILLE D'ENTREE NORD EST 1.1.1.  COFFRET DE COMMANDE ET DE CONTROLE;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;GERLAND;ELECTROMECANIQUE;76352;76352;;
118635F124SRSFGPE0300787;GERLAND - GRILLE D'ENTREE NORD OUEST 2.1.1.  COFFRET DE COMMANDE ET DE CONTROLE;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;GERLAND;ELECTROMECANIQUE;76353;76353;;
